	1. Durante o bate-papo, - Ouvi meu colega sem interrompê-lo até que chegasse a minha vez de falar.	2. Durante o bate-papo, - Ouvi a opinião do meu colega para me inspirar.	3. Durante o bate-papo, - Durante a discussão com meu colega de classe, defendi respeitosamente meu ponto de vista.	4. Durante o bate-papo, - Reuni informações para fundamentar minhas ideias.	5. Durante o bate-papo, - Verifiquei se as informações coletadas pelo nosso grupo estavam corretas.	6. Durante o bate-papo, - Discuti com meu colega de classe quais informações eram necessárias para prosseguir com a tarefa.	7. Durante o bate-papo, - Verifiquei se nossos argumentos eram claros e coerentes.	8. Durante o bate-papo, - Discuti com meus colegas casos em que nossos argumentos poderiam não estar corretos.	9. Durante o bate-papo, - Discuti se nossos argumentos são suficientemente convincentes.
usuario333	05	05	05	04	01	02	01	03	02
usuario962	05	04	05	04	04	05	05	04	02
usuario042	04	04	03	04	04	04	03	04	02
usuario192	04	04	03	04	04	05	03	01	01
usuario919	05	05	05	04	03	03	04	03	04
usuario250	04	03	04	02	03	04	04	02	02
usuario777	04	05	04	04	04	03	02	01	02
usuario207	04	04	04	04	02	02	04	02	04
usuario117	05	04	05	04	05	05	03	04	02
usuario021	04	05	03	05	05	05	05	04	03
usuario034	02	03	03	04	04	02	03	03	03
usuario321	02	05	03	04	04	04	04	05	05
usuario114	05	05	05	05	04	04	04	02	03
usuario37	02	04	02	05	04	04	02	01	04
usuario139	05	05	05	03	05	01	04	02	02
usuario110	04	04	03	04	02	05	01	03	03
usuario225	04	05	03	04	02	04	04	04	03
usuario032	04	04	04	04	03	03	03	04	03
usuario111	05	05	05	03	03	02	02	03	02
usario140	05	04	05	03	05	04	03	02	02
usuario999	05	05	05	05	03	04	04	02	02
usuario047	05	05	05	03	01	05	05	05	05
